feature,percentage,weight
PLP[0],77.228,5.4
MFCC[0],65.347,4.8
PLP[1],55.446,3.9
MFCC[1],44.554,4.70
MFCC[12],38.614,5.04
PLP[5],37.624,4.94
PLP[3],26.733,3.06
MFCC[2],20.792,5.79
MFCC[3],17.822,2.67
Shimmer,16.832,4.36
Jitter,11.881,2.01
$\Delta$$\Delta$PLP[0],7.921,4.35
$\Delta$$\Delta$PLP[1],7.921,3.30
PLP[4],7.921,3.79
$\Delta$PLP[5],5.941,4.62
MFCC[10],5.941,7.56
$\Delta$MFCC[1],4.950,6.75
$\Delta$MFCC[12],4.950,3.91
$\Delta$$\Delta$MFCC[1],3.960,4.58
$\Delta$$\Delta$PLP[5],3.960,2.43
PLP[2],3.960,4.61
$\Delta$$\Delta$MFCC[12],3.960,4.27
MFCC[4],3.960,4.21
$\Delta$MFCC[0],2.970,1.15
$\Delta$$\Delta$MFCC[3],1.980,3.95
$\Delta$$\Delta$PLP[4],1.980,3.04
$\Delta$$\Delta$PLP[3],1.980,4.37
MFCC[8],1.980,0.17
MFCC[5],1.980,2.95
$\Delta$MFCC[7],1.980,5.12
$\Delta$$\Delta$MFCC[0],0.990,5.29
$\Delta$MFCC[3],0.990,2.62
MFCC[9],0.990,3.02
$\Delta$$\Delta$MFCC[8],0.990,3.33
$\Delta$MFCC[2],0.990,2.84
F0,0.990,2.94
$\Delta$PLP[3],0.990,2.56
