dataset,solver,alpha,iterations,accuracy,precision,recall,specificity,fscore
gita,adam,0.0001,5000,0.9,0.75,1.0,0.857,0.857
gita,lbfgs,0.0001,2000,0.9,0.75,1.0,0.857,0.857
gita,adam,0.001,2000,0.8,1.0,0.75,1.0,0.857
gita,lbfgs,0.01,5000,0.8,0.833,0.833,0.75,0.833
gita,lbfgs,0.01,2000,0.8,1.0,0.714,1.0,0.833
fralusopark,adam,0.001,5000,0.786,0.8,0.889,0.6,0.842
fralusopark,adam,0.01,5000,0.786,0.8,0.889,0.6,0.842
fralusopark,adam,0.0001,2000,0.786,0.8,0.889,0.6,0.842
mdvr_kcl,adam,0.001,5000,0.75,0.0,0.0,0.75,0.0
mdvr_kcl,lbfgs,0.001,2000,0.75,0.5,1.0,0.667,0.667
mdvr_kcl,adam,0.0001,5000,0.75,0.667,1.0,0.5,0.8
mdvr_kcl,adam,0.0001,2000,0.75,1.0,0.5,1.0,0.667
mdvr_kcl,lbfgs,0.0001,2000,0.75,1.0,0.5,1.0,0.667
mdvr_kcl,adam,0.01,5000,0.75,0.0,0.0,0.75,0.0
fralusopark,lbfgs,0.0001,5000,0.714,0.75,0.75,0.667,0.75
gita,lbfgs,0.001,5000,0.7,0.667,0.8,0.6,0.727
gita,adam,0.001,5000,0.7,0.5,0.667,0.714,0.571
gita,adam,0.01,2000,0.7,0.5,0.667,0.714,0.571
gita,lbfgs,0.001,2000,0.7,0.8,0.667,0.75,0.727
fralusopark,lbfgs,0.01,2000,0.643,0.571,0.667,0.625,0.615
fralusopark,adam,0.01,2000,0.643,0.857,0.6,0.75,0.706
fralusopark,adam,0.001,2000,0.643,0.667,0.75,0.5,0.706
gita,adam,0.0001,2000,0.6,0.6,0.6,0.6,0.6
gita,adam,0.01,5000,0.6,1.0,0.333,1.0,0.5
fralusopark,lbfgs,0.01,5000,0.571,0.6,0.429,0.714,0.5
fralusopark,lbfgs,0.001,5000,0.571,0.4,1.0,0.4,0.571
mdvr_kcl,lbfgs,0.0001,5000,0.5,0.5,0.5,0.5,0.5
mdvr_kcl,adam,0.01,2000,0.5,1.0,0.333,1.0,0.5
mdvr_kcl,lbfgs,0.001,5000,0.5,0.0,0.0,1.0,0.0
fralusopark,lbfgs,0.0001,2000,0.429,0.375,0.5,0.375,0.429
gita,lbfgs,0.0001,5000,0.4,0.429,0.6,0.2,0.5
fralusopark,adam,0.0001,5000,0.357,0.667,0.364,0.333,0.471
