dataset,solver,alpha,iterations,accuracy,precision,recall,specificity,fscore
gita,adam,0.001,5000,0.9,0.8,1.0,0.833,0.889
gita,lbfgs,0.001,5000,0.9,1.0,0.833,1.0,0.909
gita,adam,0.0001,5000,0.8,0.8,0.8,0.8,0.8
gita,adam,0.01,5000,0.8,0.667,0.667,0.857,0.667
gita,adam,0.001,2000,0.8,1.0,0.778,1.0,0.875
gita,lbfgs,0.001,2000,0.8,0.8,0.8,0.8,0.8
gita,lbfgs,0.0001,5000,0.8,0.833,0.833,0.75,0.833
gita,lbfgs,0.0001,2000,0.8,0.667,0.667,0.857,0.667
fralusopark,adam,0.01,2000,0.786,0.818,0.9,0.5,0.857
fralusopark,lbfgs,0.0001,2000,0.786,0.5,1.0,0.727,0.667
mdvr_kcl,adam,0.0001,2000,0.75,1.0,0.667,1.0,0.8
mdvr_kcl,adam,0.01,5000,0.75,1.0,0.667,1.0,0.8
mdvr_kcl,lbfgs,0.001,5000,0.75,0.5,1.0,0.667,0.667
mdvr_kcl,lbfgs,0.0001,5000,0.75,1.0,0.75,0.0,0.857
fralusopark,adam,0.0001,2000,0.714,0.833,0.625,0.833,0.714
fralusopark,lbfgs,0.001,5000,0.714,0.857,0.667,0.8,0.75
fralusopark,lbfgs,0.01,5000,0.643,0.625,0.714,0.571,0.667
fralusopark,lbfgs,0.0001,5000,0.643,0.5,1.0,0.444,0.667
gita,adam,0.0001,2000,0.6,0.6,0.6,0.6,0.6
gita,adam,0.01,2000,0.6,0.4,0.667,0.571,0.5
fralusopark,adam,0.0001,5000,0.571,0.5,0.5,0.625,0.5
mdvr_kcl,adam,0.0001,5000,0.5,0.333,1.0,0.333,0.5
gita,lbfgs,0.01,2000,0.5,1.0,0.375,1.0,0.545
fralusopark,lbfgs,0.01,2000,0.429,0.3,0.75,0.3,0.429
fralusopark,lbfgs,0.001,2000,0.429,0.375,0.5,0.375,0.429
fralusopark,adam,0.001,2000,0.357,0.333,0.5,0.25,0.4
fralusopark,adam,0.001,5000,0.357,0.444,0.5,0.167,0.471
mdvr_kcl,adam,0.01,2000,0.25,1.0,0.25,0.0,0.4
