dataset,solver,alpha,iterations,accuracy,precision,recall,specificity,fscore
gita,lbfgs,0.001,5000,0.67,0.644,0.76,0.58,0.697
gita,lbfgs,0.01,2000,0.65,0.612,0.82,0.48,0.701
gita,lbfgs,0.001,2000,0.65,0.615,0.8,0.5,0.696
gita,lbfgs,0.0001,2000,0.63,0.592,0.84,0.42,0.694
gita,adam,0.0001,5000,0.63,0.6,0.78,0.48,0.678
gita,lbfgs,0.01,5000,0.63,0.6,0.78,0.48,0.678
gita,adam,0.001,2000,0.62,0.583,0.84,0.4,0.689
gita,adam,0.0001,2000,0.61,0.585,0.76,0.46,0.661
gita,lbfgs,0.0001,5000,0.61,0.585,0.76,0.46,0.661
gita,adam,0.01,2000,0.6,0.571,0.8,0.4,0.667
gita,adam,0.01,5000,0.59,0.558,0.86,0.32,0.677
fralusopark,lbfgs,0.001,2000,0.586,0.605,0.653,0.508,0.628
fralusopark,adam,0.001,2000,0.579,0.58,0.773,0.354,0.663
fralusopark,adam,0.0001,2000,0.571,0.593,0.64,0.492,0.615
fralusopark,adam,0.001,5000,0.571,0.586,0.68,0.446,0.63
fralusopark,lbfgs,0.001,5000,0.564,0.585,0.64,0.477,0.611
fralusopark,adam,0.01,5000,0.557,0.568,0.72,0.369,0.635
fralusopark,lbfgs,0.01,2000,0.557,0.584,0.6,0.508,0.592
fralusopark,lbfgs,0.0001,2000,0.55,0.577,0.6,0.492,0.588
gita,adam,0.001,5000,0.55,0.534,0.78,0.32,0.634
fralusopark,lbfgs,0.01,5000,0.55,0.573,0.627,0.462,0.599
fralusopark,adam,0.0001,5000,0.55,0.579,0.587,0.508,0.583
fralusopark,lbfgs,0.0001,5000,0.55,0.571,0.64,0.446,0.604
fralusopark,adam,0.01,2000,0.55,0.581,0.573,0.523,0.577
mdvr_kcl,lbfgs,0.0001,2000,0.514,0.469,0.938,0.19,0.625
mdvr_kcl,lbfgs,0.0001,5000,0.514,0.471,1.0,0.143,0.64
mdvr_kcl,lbfgs,0.001,5000,0.486,0.457,1.0,0.095,0.627
mdvr_kcl,lbfgs,0.001,2000,0.486,0.455,0.938,0.143,0.612
mdvr_kcl,lbfgs,0.01,2000,0.486,0.457,1.0,0.095,0.627
mdvr_kcl,adam,0.001,2000,0.459,0.444,1.0,0.048,0.615
mdvr_kcl,lbfgs,0.01,5000,0.459,0.444,1.0,0.048,0.615
mdvr_kcl,adam,0.0001,5000,0.459,0.444,1.0,0.048,0.615
mdvr_kcl,adam,0.001,5000,0.432,0.432,1.0,0.0,0.604
mdvr_kcl,adam,0.0001,2000,0.432,0.432,1.0,0.0,0.604
mdvr_kcl,adam,0.01,5000,0.432,0.429,0.938,0.048,0.588
mdvr_kcl,adam,0.01,2000,0.432,0.432,1.0,0.0,0.604
