dataset,solver,alpha,iterations,accuracy,precision,recall,specificity,fscore
gita,lbfgs,0.01,5000,0.66,0.614,0.86,0.46,0.717
gita,lbfgs,0.0001,2000,0.63,0.589,0.86,0.4,0.699
gita,lbfgs,0.0001,5000,0.62,0.579,0.88,0.36,0.698
gita,lbfgs,0.001,2000,0.6,0.571,0.8,0.4,0.667
fralusopark,lbfgs,0.0001,5000,0.586,0.586,0.773,0.369,0.667
gita,adam,0.001,5000,0.58,0.545,0.96,0.2,0.696
fralusopark,adam,0.01,2000,0.579,0.566,0.92,0.185,0.701
fralusopark,lbfgs,0.01,5000,0.571,0.581,0.72,0.4,0.643
gita,adam,0.001,2000,0.56,0.541,0.8,0.32,0.645
fralusopark,adam,0.001,5000,0.557,0.558,0.84,0.231,0.67
fralusopark,lbfgs,0.001,5000,0.557,0.557,0.853,0.215,0.674
fralusopark,adam,0.0001,2000,0.557,0.557,0.853,0.215,0.674
gita,adam,0.01,2000,0.55,0.529,0.9,0.2,0.667
fralusopark,adam,0.01,5000,0.543,0.559,0.693,0.369,0.619
gita,adam,0.01,5000,0.54,0.524,0.88,0.2,0.657
fralusopark,lbfgs,0.0001,2000,0.536,0.546,0.787,0.246,0.645
fralusopark,lbfgs,0.001,2000,0.536,0.545,0.8,0.231,0.649
gita,adam,0.0001,2000,0.53,0.518,0.86,0.2,0.647
mdvr_kcl,lbfgs,0.001,2000,0.486,0.457,1.0,0.095,0.627
mdvr_kcl,lbfgs,0.0001,2000,0.459,0.444,1.0,0.048,0.615
mdvr_kcl,adam,0.0001,2000,0.459,0.444,1.0,0.048,0.615
mdvr_kcl,adam,0.001,2000,0.459,0.433,0.812,0.19,0.565
mdvr_kcl,adam,0.01,5000,0.432,0.432,1.0,0.0,0.604
mdvr_kcl,lbfgs,0.01,5000,0.432,0.429,0.938,0.048,0.588
mdvr_kcl,adam,0.01,2000,0.405,0.417,0.938,0.0,0.577
