dataset,solver,alpha,iterations,accuracy,precision,recall,specificity,fscore
mdvr_kcl_gita,adam,0.001,2000,0.9,0.857,1.0,0.75,0.923
fralusopark_gita,lbfgs,0.0001,5000,0.9,0.875,1.0,0.667,0.933
gita_fralusopark,adam,0.0001,2000,0.857,0.833,1.0,0.5,0.909
gita_fralusopark,adam,0.01,5000,0.857,0.889,0.889,0.8,0.889
gita_fralusopark,lbfgs,0.001,2000,0.857,1.0,0.75,1.0,0.857
mdvr_kcl_gita,adam,0.001,5000,0.8,0.833,0.833,0.75,0.833
mdvr_kcl_gita,lbfgs,0.001,2000,0.8,1.0,0.5,1.0,0.667
mdvr_kcl_gita,adam,0.01,2000,0.8,1.0,0.667,1.0,0.8
fralusopark_gita,adam,0.001,5000,0.8,0.667,1.0,0.667,0.8
fralusopark_gita,adam,0.0001,5000,0.8,0.714,1.0,0.6,0.833
gita_fralusopark,adam,0.001,2000,0.786,0.75,0.857,0.714,0.8
mdvr_kcl_fralusopark,lbfgs,0.001,2000,0.786,0.889,0.8,0.75,0.842
mdvr_kcl_fralusopark,adam,0.01,5000,0.786,0.857,0.75,0.833,0.8
mdvr_kcl_fralusopark,lbfgs,0.01,5000,0.786,0.857,0.75,0.833,0.8
gita_fralusopark,lbfgs,0.0001,5000,0.786,0.857,0.75,0.833,0.8
fralusopark_mdvr_kcl,adam,0.01,5000,0.75,0.0,0.0,1.0,0.0
gita_mdvr_kcl,lbfgs,0.0001,5000,0.75,1.0,0.5,1.0,0.667
gita_mdvr_kcl,adam,0.001,5000,0.75,1.0,0.5,1.0,0.667
gita_mdvr_kcl,adam,0.01,2000,0.75,1.0,0.5,1.0,0.667
gita_mdvr_kcl,lbfgs,0.01,5000,0.75,0.667,1.0,0.5,0.8
gita_mdvr_kcl,lbfgs,0.001,2000,0.75,1.0,0.5,1.0,0.667
gita_mdvr_kcl,adam,0.001,2000,0.75,0.0,0.0,1.0,0.0
gita_fralusopark,adam,0.001,5000,0.714,0.75,0.75,0.667,0.75
mdvr_kcl_fralusopark,lbfgs,0.0001,5000,0.714,0.778,0.778,0.6,0.778
mdvr_kcl_gita,lbfgs,0.01,5000,0.7,1.0,0.5,1.0,0.667
mdvr_kcl_gita,adam,0.0001,2000,0.7,0.667,0.8,0.6,0.727
mdvr_kcl_gita,lbfgs,0.0001,2000,0.7,1.0,0.5,1.0,0.667
mdvr_kcl_gita,adam,0.01,5000,0.7,0.5,0.667,0.714,0.571
fralusopark_gita,lbfgs,0.01,2000,0.7,0.8,0.667,0.75,0.727
fralusopark_gita,adam,0.001,2000,0.7,0.667,0.8,0.6,0.727
fralusopark_gita,adam,0.0001,2000,0.7,0.5,0.667,0.714,0.571
gita_fralusopark,lbfgs,0.0001,2000,0.643,0.778,0.7,0.5,0.737
mdvr_kcl_gita,lbfgs,0.0001,5000,0.6,0.0,0.0,0.75,0.0
fralusopark_gita,lbfgs,0.001,2000,0.6,0.571,0.8,0.4,0.667
gita_fralusopark,lbfgs,0.01,2000,0.571,0.5,1.0,0.25,0.667
gita_fralusopark,lbfgs,0.01,5000,0.571,0.556,0.714,0.429,0.625
mdvr_kcl_fralusopark,adam,0.0001,2000,0.5,0.364,1.0,0.3,0.533
mdvr_kcl_fralusopark,adam,0.001,5000,0.5,0.667,0.6,0.25,0.632
mdvr_kcl_gita,lbfgs,0.001,5000,0.5,0.333,0.667,0.429,0.444
mdvr_kcl_fralusopark,adam,0.01,2000,0.5,0.333,0.4,0.556,0.364
fralusopark_mdvr_kcl,adam,0.001,5000,0.5,1.0,0.333,1.0,0.5
fralusopark_mdvr_kcl,adam,0.0001,5000,0.5,0.0,0.0,0.5,0.0
fralusopark_mdvr_kcl,lbfgs,0.0001,2000,0.5,1.0,0.333,1.0,0.5
fralusopark_gita,adam,0.01,2000,0.5,0.429,0.75,0.333,0.545
fralusopark_gita,lbfgs,0.01,5000,0.5,0.444,1.0,0.167,0.615
gita_mdvr_kcl,adam,0.0001,2000,0.5,0.667,0.667,0.0,0.667
gita_fralusopark,adam,0.01,2000,0.5,0.444,0.667,0.375,0.533
gita_fralusopark,adam,0.0001,5000,0.5,0.8,0.4,0.75,0.533
mdvr_kcl_fralusopark,adam,0.001,2000,0.5,0.75,0.333,0.8,0.462
mdvr_kcl_fralusopark,lbfgs,0.0001,2000,0.429,0.444,0.571,0.286,0.5
fralusopark_gita,adam,0.01,5000,0.4,0.6,0.429,0.333,0.5
fralusopark_gita,lbfgs,0.001,5000,0.4,0.333,0.5,0.333,0.4
fralusopark_gita,lbfgs,0.0001,2000,0.4,0.4,0.4,0.4,0.4
gita_mdvr_kcl,lbfgs,0.0001,2000,0.25,1.0,0.25,0.0,0.4
