dataset,solver,alpha,iterations,accuracy,precision,recall,specificity,fscore
mdvr_kcl_gita,lbfgs,0.001,5000,0.9,1.0,0.8,1.0,0.889
fralusopark_gita,lbfgs,0.0001,2000,0.8,0.75,0.75,0.833,0.75
mdvr_kcl_gita,adam,0.0001,5000,0.8,1.0,0.667,1.0,0.8
mdvr_kcl_gita,adam,0.001,5000,0.8,0.6,1.0,0.714,0.75
mdvr_kcl_gita,lbfgs,0.0001,5000,0.8,0.6,1.0,0.714,0.75
mdvr_kcl_gita,adam,0.001,2000,0.8,0.5,1.0,0.75,0.667
fralusopark_gita,lbfgs,0.001,5000,0.8,0.75,1.0,0.5,0.857
gita_mdvr_kcl,adam,0.0001,2000,0.75,0.5,1.0,0.667,0.667
gita_mdvr_kcl,adam,0.0001,5000,0.75,0.0,0.0,1.0,0.0
gita_mdvr_kcl,adam,0.001,5000,0.75,1.0,0.5,1.0,0.667
fralusopark_mdvr_kcl,adam,0.0001,2000,0.75,1.0,0.667,1.0,0.8
fralusopark_mdvr_kcl,adam,0.01,5000,0.75,0.5,1.0,0.667,0.667
mdvr_kcl_gita,adam,0.0001,2000,0.7,0.8,0.667,0.75,0.727
mdvr_kcl_gita,lbfgs,0.0001,2000,0.6,0.667,0.667,0.5,0.667
fralusopark_gita,lbfgs,0.0001,5000,0.6,0.571,0.8,0.4,0.667
fralusopark_gita,adam,0.001,2000,0.6,0.5,0.75,0.5,0.6
mdvr_kcl_fralusopark,lbfgs,0.0001,2000,0.571,0.75,0.375,0.833,0.5
gita_fralusopark,lbfgs,0.0001,2000,0.571,0.833,0.5,0.75,0.625
mdvr_kcl_fralusopark,adam,0.0001,2000,0.571,0.833,0.5,0.75,0.625
gita_fralusopark,adam,0.001,5000,0.571,0.75,0.6,0.5,0.667
gita_fralusopark,adam,0.0001,2000,0.571,0.625,0.625,0.5,0.625
mdvr_kcl_fralusopark,adam,0.001,5000,0.5,0.6,0.375,0.667,0.462
gita_mdvr_kcl,lbfgs,0.001,5000,0.5,1.0,0.333,1.0,0.5
gita_mdvr_kcl,lbfgs,0.0001,5000,0.5,1.0,0.5,0.0,0.667
fralusopark_gita,adam,0.0001,2000,0.3,0.222,1.0,0.125,0.364
fralusopark_mdvr_kcl,adam,0.001,2000,0.25,0.0,0.0,0.5,0.0
